uid,e1_value,e2_value,e3_value,r1_prompt,r1_expected_aliases,r1_response,r1_matched_alias,r2_prompt,r2_expected_aliases,r2_response,r2_matched_alias,fact_comp_type,category
27184,The sorrows of young Werther,Johann Wolfgang von Goethe,Germany,The author of the novel The sorrows of young Werther is,Johann Wolfgang von Goethe|Goethe|joh. wolfg. von goethe|j. w. von goethe,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe was born in the country of,Germany|Federal Republic of Germany|Deutschland|GER|BR Deutschland|DE|BRD|Bundesrepublik Deutschland|GFR,Germany,Germany,birthcntry of novel's author,novel-author-birthcntry
27186,Candide,Voltaire,France,The author of the novel Candide is,Voltaire|François-Marie Arouet|Francois Marie Arouet de Voltaire|Francois Marie Arouet|Dictator of Letters,Voltaire.,Voltaire,Voltaire was born in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France,France,birthcntry of novel's author,novel-author-birthcntry
27187,The Satanic Verses,Salman Rushdie,India,The author of the novel The Satanic Verses is,Salman Rushdie|Rushdie|Joseph Anton|Sir Ahmed Salman Rushdie|Ahmed Salman Rushdie,Salman Rushdie,Salman Rushdie,Salman Rushdie was born in the country of,India|Republic of India|Bharat|Bharatvarsh|Hindustan|IN|IND|🇮🇳|Bharata|Hindoostan|Indostan|Bharat Ganarajya,India,India,birthcntry of novel's author,novel-author-birthcntry
27192,The Grapes of Wrath,John Steinbeck,United States of America,The author of the novel The Grapes of Wrath is,"John Steinbeck|John Ernst Steinbeck, Jr.|John Ernst Steinbeck|John Ernest Steinbeck|John Ernst Steinbeck Jr|Steinbeck",John Steinbeck,John Steinbeck,John Steinbeck was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27200,The Little Match Girl,Hans Christian Andersen,Denmark,The author of the novel The Little Match Girl is,Hans Christian Andersen|H.C. Andersen|Hans Andersen|H.Ch. Andersen,Hans Christian Andersen,Hans Christian Andersen,Hans Christian Andersen was born in the country of,Denmark|DK|Danmark|DNK|DEK|🇩🇰|DEN|TAN|Denmark proper|metropolitan Denmark,Denmark,Denmark,birthcntry of novel's author,novel-author-birthcntry
27201,It,Stephen King,United States of America,The author of the novel It is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27202,The Call of the Wild,Jack London,United States of America,The author of the novel The Call of the Wild is,"Jack London|John Griffith Chaney|John Griffith ""Jack"" London|John Griffith Chaney London|John Griffith ""Jack London"" Chaney",Jack London,Jack London,Jack London was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27203,The Red and the Black,Stendhal,France,The author of the novel The Red and the Black is,Stendhal|Marie-Henri Beyle|Henri Beyle|Marie Henri Beyle,Stendhal,Stendhal,Stendhal was born in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France.,France,birthcntry of novel's author,novel-author-birthcntry
27209,On the Road,Jack Kerouac,United States of America,The author of the novel On the Road is,Jack Kerouac|Jean-Louis Lebris de Kérouac|Jean-Louis Lebris de Kerouac|Kerouac|Jean-Louis Kerouac,Jack Kerouac,Jack Kerouac,Jack Kerouac was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27211,The Handmaid's Tale,Margaret Atwood,Canada,The author of the novel The Handmaid's Tale is,Margaret Atwood|Margaret Eleanor Atwood,Margaret Atwood.,Margaret Atwood,Margaret Atwood was born in the country of,Canada|CAN|CA,Canada.,Canada,birthcntry of novel's author,novel-author-birthcntry
27212,The Magic Mountain,Thomas Mann,Germany,The author of the novel The Magic Mountain is,Thomas Mann|Paul Thomas Mann,Thomas Mann,Thomas Mann,Thomas Mann was born in the country of,Germany|Federal Republic of Germany|Deutschland|GER|BR Deutschland|DE|BRD|Bundesrepublik Deutschland|GFR,Germany,Germany,birthcntry of novel's author,novel-author-birthcntry
27217,The Fountainhead,Ayn Rand,Russia,The author of the novel The Fountainhead is,Ayn Rand|Alisa Zinov'yevna Rosenbaum,Ayn Rand,Ayn Rand,Ayn Rand was born in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,birthcntry of novel's author,novel-author-birthcntry
27216,Do Androids Dream of Electric Sheep?,Philip K. Dick,United States of America,The author of the novel Do Androids Dream of Electric Sheep? is,Philip K. Dick|PKD|Philip Kindred Dick|Philip Dick|Richard Phillips|Jack Dowland|Filip K. Dik,Philip K. Dick.,Philip K. Dick,Philip K. Dick was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27218,Kafka on the Shore,Haruki Murakami,Japan,The author of the novel Kafka on the Shore is,Haruki Murakami|Murakami Haruki,Haruki Murakami,Haruki Murakami,Haruki Murakami was born in the country of,Japan|State of Japan|Land of the Rising Sun|Nihon|Nippon|JP|Nippon-koku|Nihon-koku|JPN|JAP|JA|🇯🇵|Iapan|Iapon|Land of Rising Sun,Japan,Japan,birthcntry of novel's author,novel-author-birthcntry
27219,A Thousand Splendid Suns,Khaled Hosseini,Afghanistan,The author of the novel A Thousand Splendid Suns is,Khaled Hosseini,Khaled Hosseini,Khaled Hosseini,Khaled Hosseini was born in the country of,Afghanistan|🇦🇫|AFG|af,Afghanistan.,Afghanistan,birthcntry of novel's author,novel-author-birthcntry
27222,1Q84,Haruki Murakami,Japan,The author of the novel 1Q84 is,Haruki Murakami|Murakami Haruki,Haruki Murakami.,Haruki Murakami,Haruki Murakami was born in the country of,Japan|State of Japan|Land of the Rising Sun|Nihon|Nippon|JP|Nippon-koku|Nihon-koku|JPN|JAP|JA|🇯🇵|Iapan|Iapon|Land of Rising Sun,Japan,Japan,birthcntry of novel's author,novel-author-birthcntry
27239,Misery,Stephen King,United States of America,The author of the novel Misery is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King.,Stephen King,Stephen King was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27257,Stranger in a Strange Land,Robert A. Heinlein,United States of America,The author of the novel Stranger in a Strange Land is,Robert A. Heinlein|Robert Anson Heinlein|Anson MacDonald|Lyle Monroe|John Riverside|Caleb Saunders|Simon York|Robert Heinlein,Robert A. Heinlein,Robert A. Heinlein,Robert A. Heinlein was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27262,The God of Small Things,Arundhati Roy,India,The author of the novel The God of Small Things is,Arundhati Roy|Suzanna Arundhati Roy,Arundhati Roy,Arundhati Roy,Arundhati Roy was born in the country of,India|Republic of India|Bharat|Bharatvarsh|Hindustan|IN|IND|🇮🇳|Bharata|Hindoostan|Indostan|Bharat Ganarajya,India,India,birthcntry of novel's author,novel-author-birthcntry
27266,Oblomov,Ivan Goncharov,Russia,The author of the novel Oblomov is,Ivan Goncharov|Ivan Alexandrovich Goncharov,A. Ivan Goncharov,Ivan Goncharov,Ivan Goncharov was born in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,birthcntry of novel's author,novel-author-birthcntry
27274,The Call of Cthulhu,H. P. Lovecraft,United States of America,The author of the novel The Call of Cthulhu is,H. P. Lovecraft|Howard Phillips Lovecraft|Lovecraft|Howard P. Lovecraft|HPL|E'ch-Pi-El|Grandpa Theobald|Ward Phillips,H.P. Lovecraft,H. P. Lovecraft,H. P. Lovecraft was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27275,Cyrano de Bergerac,Edmond Rostand,France,The author of the novel Cyrano de Bergerac is,Edmond Rostand|Edmond Eugène Alexis Rostand,Edmond Rostand,Edmond Rostand,Edmond Rostand was born in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France,France,birthcntry of novel's author,novel-author-birthcntry
27283,The Host,Stephenie Meyer,United States of America,The author of the novel The Host is,Stephenie Meyer|Stephenie Morgan Meyer|Stephenie Morgan,Stephenie Meyer,Stephenie Meyer,Stephenie Meyer was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27284,The Dead Zone,Stephen King,United States of America,The author of the novel The Dead Zone is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27292,Firestarter,Stephen King,United States of America,The author of the novel Firestarter is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27295,In Cold Blood,Truman Capote @,United States of America,The author of the novel In Cold Blood is,Truman Capote|Truman Streckfus Persons|Truman Garcia Capote,Truman Capote,Truman Capote,Truman Capote @ was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27302,Carmilla,Sheridan Le Fanu,Republic of Ireland,The author of the novel Carmilla is,"Sheridan Le Fanu|Joseph Thomas Sheridan Le Fanu|Joseph Sheridan Le Fanu|J. Sheridan Le Fanu|Charles de Cresserons Francis Purcell, Reverend",Joseph Sheridan Le Fanu,Sheridan Le Fanu,Sheridan Le Fanu was born in the country of,"Republic of Ireland|Éire|IE|IRL|Hibernia|Ireland, Republic of|🇮🇪|Eire|Southern Ireland|Ireland (state)|Ireland",Ireland,Ireland,birthcntry of novel's author,novel-author-birthcntry
27306,Bag of Bones,Stephen King,United States of America,The author of the novel Bag of Bones is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27322,The Lovely Bones,Alice Sebold,United States of America,The author of the novel The Lovely Bones is,Alice Sebold,Alice Sebold,Alice Sebold,Alice Sebold was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27324,Dreamcatcher,Stephen King,United States of America,The author of the novel Dreamcatcher is,Stephen King|Stephen Edwin King|Richard Bachman|John Swithen|Richard Richard,Stephen King,Stephen King,Stephen King was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27328,Holes,Louis Sachar,United States of America,The author of the novel Holes is,Louis Sachar,Louis Sachar,Louis Sachar,Louis Sachar was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
27329,The Song of Hiawatha,Henry Wadsworth Longfellow,United States of America,The author of the novel The Song of Hiawatha is,Henry Wadsworth Longfellow|Henry W. Longfellow|H. W. Longfellow|Longfellow,Henry Wadsworth Longfellow,Henry Wadsworth Longfellow,Henry Wadsworth Longfellow was born in the country of,United States of America|the United States of America|America|U.S.A.|USA|U.S.|US|the US|the USA|US of A|the United States|U. S. A.|U. S.|the States|the U.S.|United States|US of America|the U.S.A.|the US of America|the US of A|the U.S. of A|the U.S. of America|U.S. of America|Merica,United States,United States,birthcntry of novel's author,novel-author-birthcntry
